What is the Digital Rupee (e-rupee) launched by the RBI?|Central Bank Digital Currency (CBDC)|A private cryptocurrency like Bitcoin|A commercial bank-only stablecoin with no RBI link|A foreign exchange reserve bond|RBI-issued legal tender form; aims to cut cash costs; not private crypto.
What does inflation signify in an economy?|A general rise in prices and a fall in money's purchasing power|Only a stock market crash|Only when the rupee appreciates|Only unemployment rising|Example: 6% inflation implies last year's ₹100 basket costs more today.
What is the difference between repo rate and reverse repo rate?|Repo: RBI lends to banks; reverse repo: banks park funds with RBI|They are always identical rates|Repo is the cash reserve ratio|Reverse repo is the GST slab rate|Repo hikes make bank credit costlier, cooling demand and inflation pressure.
What is a unicorn company in the startup world?|A private startup valued at over one billion US dollars|Any listed SME|A government PSU|A firm with exactly 100 employees|India is a major hub in fintech and SaaS unicorns.
What is India's Blue Revolution mainly associated with?|Aquaculture and fisheries productivity|Blue-chip stock indices only|Indigo dye exports|Navy submarine fleet size|Modern, sustainable fish production push.
What does FDI stand for?|Foreign Direct Investment|Federal Domestic Income|Fiscal Deficit Index|Foreign Dividend Interest|Cross-border investment in business operations.
What does an IPO (Initial Public Offering) mean?|First-time offer of a company's shares to the public|Only a government bond auction|Only an inter-bank overnight loan rate|Only an import duty waiver|Primary market listing; distinct from secondary trading.
What is microeconomics?|Study of individual households and firms and specific markets|Study of only central bank balance sheet|Study of only world trade totals|Study of only tax filing dates|Contrasts with macroeconomics at national level.
What is Direct Benefit Transfer (DBT)?|Transferring subsidies and benefits straight to beneficiaries' bank accounts|Only cash delivery at post offices|Only tax refunds to companies|Only MNREGA wage caps|Cuts leakages and middlemen in schemes like LPG subsidies.
What is GDP (Gross Domestic Product)?|Total market value of finished goods and services produced in a country in a period|Only government spending|Only export value|Only stock market capitalization|Key headline gauge of economic size and growth.
What is a Giffen good in economics?|A low-income staple whose demand can rise when its price rises|Any luxury good|A good with perfectly elastic demand|A free public good|Substitution effect dominated by income effect for very poor consumers.
What is angel investment?|Wealthy individuals funding early startups for equity|Only World Bank project loans|Only bank overdrafts|Only government grants with no equity|High-risk early capital before VC scale.
What is fiscal policy?|Government spending and tax choices to steer the economy|RBI open market operations only|SEBI margin rules only|Only exchange rate pegging|Finance ministry domain; monetary policy is RBI.
What is cryptocurrency mining?|Verifying blockchain transactions with heavy computation for token rewards|Printing physical banknotes|Mining rare earth ores only|Scanning QR codes at tolls|Proof-of-work style incentive for network security.
What is a liquidity trap?|Very low interest rates fail to lift spending or investment much|Banks have zero deposits|Only hyperinflation state|Only when gold standard returns|People hoard cash expecting bad outcomes; Keynesian idea.
What is venture capital?|Equity funding for high-growth, high-risk startups|Retail fixed deposits|Sovereign gold bonds only|Crop insurance premium|Often hands-on investors and board involvement.
What is the Sensex?|BSE benchmark index of 30 large liquid stocks|NSE 50 index|RBI policy rate|GDP deflator series|Bombay Stock Exchange flagship index.
What is the Nifty 50?|NSE flagship index of 50 large stocks|BSE 30 index|Midcap 100 only|Government bond yield index|Weighted large-cap barometer on National Stock Exchange.
What is disinvestment?|Government selling PSU stakes or assets|Only buying new PSUs|Only printing notes|Only farm loan waivers|Raises revenue and can improve efficiency.
What is a reserve price in an auction?|Minimum price the seller will accept|Maximum bid allowed|Average of all bids|Government MSP for wheat|Bids below it are rejected.
What is NATO?|North Atlantic military alliance with collective defence|A UN health agency|A trade-only bloc in Asia|A cricket tournament|Founded 1949; attack on one treated as attack on all.
What is the G7?|Group of seven major advanced economies' governments|Seven largest countries by population|Seven BRICS members|Seven UN veto powers|Canada, France, Germany, Italy, Japan, UK, USA.
What is the Line of Actual Control (LAC)?|De facto India-China boundary in the absence of a settled treaty line|India-Pakistan ceasefire line|India-Bangladesh river boundary|Maritime EEZ median line only|Distinct from LoC with Pakistan.
What is the IMF's core purpose?|Stabilize the international monetary system and lend in balance-of-payments stress|Build highways in members|Run the WTO|Issue the euro|Surveillance and crisis lending.
What is the QUAD?|Strategic dialogue of Australia, India, Japan, and the USA|A UN Security Council reform club|OPEC plus India|SAARC military wing|Free and open Indo-Pacific framing.
What is UN Security Council veto power?|Any P5 member can block substantive resolutions|Only the Secretary-General votes|Majority of 193 GA states|Only rotating members veto|P5: USA, UK, France, Russia, China.
What does BRICS stand for?|Brazil, Russia, India, China, South Africa (core founders)|Bangladesh Russia India China Sri Lanka|Banking Regulation and International Credit System|Baltic Rim Indian Ocean Cooperation|Emerging-economy grouping; expanded in 2024 with new members.
What is Amnesty International?|Global NGO focused on human rights campaigns|A UN military command|A central bank|A space agency|Advocacy and research on abuses.
What is the European Union (EU)?|Political and economic union of European member states|A NATO-only treaty|A cricket league|India's GST council|Single market, Schengen movement for many, euro for subset.
What is SAARC?|South Asian regional cooperation grouping|Southeast Asia trade bloc|Arctic science forum|Middle East oil cartel|HQ Kathmandu; India, Pakistan, Bangladesh, etc.
What is soft power in IR?|Influence via culture, values, and diplomacy rather than coercion|Only aircraft carrier count|Only tariff rates|Only gold reserves|Yoga, cinema, cuisine as Indian examples.
What are the Geneva Conventions?|Treaties setting humanitarian standards in armed conflict|WTO subsidy rules|Paris climate targets only|IMF quota formulas|Protect civilians and POWs among others.
What is Interpol?|International police cooperation organization|A UN peace army|World Bank lending arm|WHO regional office|196 members share criminal intelligence.
What is the WHO?|UN specialized agency for international public health|World trade court|Space weather office|Oil producers' club|Pandemic coordination and norms.
What is the Arctic Council?|High-level forum on Arctic issues; indigenous voice|NATO northern command only|India's Antarctic treaty secretariat|OPEC Arctic desk|India has observer status; Himadri station.
What is OPEC?|Organization coordinating petroleum policies of member exporters|Ocean plastic cleanup treaty|European patent office|Pacific tsunami center|Stabilizes oil market coordination.
What is China's Belt and Road Initiative (BRI)?|Large-scale cross-border infrastructure connectivity push|India's UDAN scheme|EU carbon border tax|NASA Artemis accords|Land and maritime corridors to many regions.
What is the Nuclear Non-Proliferation Treaty (NPT)?|Treaty aimed at limiting spread of nuclear weapons|Law of the Sea treaty|Montreal ozone treaty|Kyoto emissions treaty|India has not joined, citing discrimination concerns.
What is the World Bank's broad mandate?|Reduce poverty via development lending and technical assistance|Set exchange rates daily|Regulate all crypto globally|Run peacekeeping troops|Long-horizon projects and IDA for poorest.
What is ASEAN?|Association of Southeast Asian Nations|Arctic science agency|African space agency|American student exchange only|Ten-member regional cooperation in Southeast Asia.
What is insulin and where is it produced?|A blood-glucose lowering hormone from pancreatic islets|A liver bile salt|A kidney filtration enzyme|A thyroid hormone only|Deficiency links to diabetes.
What is the Rh (Rhesus) blood factor?|An inherited protein on red blood cells; Rh+ or Rh-|ABO grouping only|Platelet count|Haemoglobin iron type|Matters in pregnancy compatibility.
What is hemoglobin's main job?|Carry oxygen from lungs to tissues|Digest fats in duodenum|Produce insulin|Filter urea only|Iron-rich protein in RBCs.
What is a chromosome?|A packaged DNA-protein structure carrying many genes|A single amino acid|A digestive enzyme|A vaccine adjuvant|Visible during cell division.
What are antibiotics used for?|Bacterial infections|Viral colds and flu|Vitamin deficiency|Broken bones|Do not kill viruses.
What do platelets mainly help with?|Blood clotting at injury sites|Gas exchange in alveoli|Bile production|Insulin secretion|Thrombocytes plug leaks.
Which deficiency is classically linked to beriberi?|Thiamine (vitamin B1)|Vitamin C|Vitamin D|Iron only|Peripheral neuropathy in severe cases.
Which organ is often called a silent killer context for untreated hypertension?|Heart and blood vessels (cardiovascular system)|Appendix only|Gall bladder only|Spleen only|Stroke and MI risk without symptoms.
What is pasteurization?|Heating liquids to kill pathogens, e.g. milk|Freezing meat only|Adding salt only|UV tanning of skin|Named after Louis Pasteur.
What is the placebo effect?|Symptom improvement after inactive treatment|Allergic shock|Drug overdose|Immune rejection of transplant|Mind-body expectation channel.
What are enzymes?|Biological catalysts speeding reactions|DNA bases only|Bone minerals only|Hormones only|Lower activation energy.
What is anaemia broadly?|Too few healthy RBCs or too little haemoglobin|High platelets only|High blood sugar only|Excess vitamin A only|Fatigue and pallor common.
What is zoonosis?|Disease transmitted from animals to humans|Plant nutrient leaching|Only genetic birth defect|Altitude sickness only|Rabies, many emerging infections.
What is a key liver function among these?|Detoxify chemicals and metabolize drugs|Pump blood to body|Produce surfactant in alveoli|Absorb glucose only in villi|Also makes bile aiding digestion.
What is vaccination?|Giving antigenic preparation to train adaptive immunity|Antibiotic course|Surgery prep only|Dialysis session|Memory cells without full disease.
What is PCR used for?|Amplifying a specific DNA segment in the lab|Measuring blood pressure|X-ray imaging|Counting WBC only|Diagnostics and forensics.
What is the smallest bone in the human body?|Stapes in the middle ear|Femur|Mandible|Radius|About rice-grain size.
What is metabolism?|Chemical reactions maintaining life in cells|Only breathing rate|Only neuron firing|Only kidney filtration number|Anabolism and catabolism.
What does the hypothalamus regulate among these?|Temperature, hunger, thirst, many endocrine links|Only hearing frequency|Only red blood cell count|Only bone length in adults|Brain homeostasis hub.
What are stem cells?|Cells that can differentiate into specialized types|Mature neurons only|Dead keratinocytes|Erythrocytes without nucleus only|Regenerative medicine uses.
What is the greenhouse effect?|Certain gases trap outgoing infrared heat|Ozone absorbs all visible light|Only moon tidal heating|Only nuclear winter smoke|Natural effect; strengthened by excess GHGs.
What is biodiversity?|Variety of life at genetic, species, ecosystem levels|Only crop monoculture area|Number of languages spoken|Depth of ocean trenches only|Resilience of ecosystems.
What is a carbon footprint?|Total GHG emissions caused by a person, product, or activity|Only forest area owned|Only water pH|Only noise decibels|Often expressed as CO2-equivalent.
What is a green bond used to finance?|Projects with environmental benefits|Defence aircraft carriers only|Coal mine expansion|Gold imports only|Climate and sustainability-linked issuance.
What is eutrophication?|Excess nutrients causing algal blooms and oxygen crash|Desert sand storms|Ozone hole formation|Earthquake magnitude|Fertilizer runoff common cause.
What is the Paris Agreement?|2015 UN climate treaty aiming to limit warming|WTO services pact|Geneva Red Cross rules|IMF quota reform|Well below 2C goal language.
What is deforestation?|Clearing forest cover for other land uses|Planting mangroves|Building wind farms at sea|Recycling paper only|Reduces carbon sinks.
What is acid rain?|Rain acidic from SO2 and NOx pollution chemistry|Only CO2 dissolved mildly|Salt spray near beaches only|Volcanic ash always benign|Damages buildings and lakes.
What is a biosphere reserve?|UNESCO areas balancing conservation and sustainable use|Only zoological gardens|Only oil blocks|Only city parks|India has many e.g. Nilgiri.
What is an endemic species?|Found naturally only in one defined region|Migrates globally|Extinct worldwide|Domesticated everywhere|Asiatic lion in Gir example.
What is the IUCN Red List?|Inventory assessing extinction risk of species|World Bank poverty line table|WHO vaccine schedule|IMF currency basket|Science-based categories.
What is vermicomposting?|Composting organic waste using worms|Burning stubble in fields|Nuclear waste vitrification|Plastic pyrolysis only|Soil amendment output.
What did the Montreal Protocol target?|Ozone-depleting substances like CFCs|CO2 emissions caps|Whaling fleets|Asbestos in ships only|Successful multilateral phase-down.
What is bioaccumulation?|Build-up of toxins up food chains over time|Rapid viral mutation only|Photosynthesis rate|Bank reserve accumulation|DDT classic textbook case.
What is the Kyoto Protocol known for?|Binding GHG cuts for developed countries under UNFCCC extension|Ozone layer treaty|Law of the Sea|NPT safeguards|Precursor to later climate deals.
What is smog?|Air pollution mixing smoke/fog; photochemical smog in cities|Clean fog over ocean|Indoor CO2 from plants|Radioactive fallout cloud|Delhi winter example.
What is sustainable agriculture?|Farming that limits environmental harm and preserves soil and water|Only maximum yield at any chemical cost|Only organic certification marketing|Only desert irrigation|Ecosystem services aware.
What is ex-situ conservation?|Conserving species outside natural habitats|Only marine reserves|Only in situ strictly|Letting invasive species spread|Zoos, seed banks.
What is in-situ conservation?|Protecting species inside natural habitats|Only aquarium tanks|Gene editing only|Selling wildlife permits|Parks and sanctuaries.
What are microplastics?|Plastic pieces roughly under five millimetres|Only macro beach toys|Glass shards|Volcanic ash particles|Oceans and human blood detections.
What is artificial intelligence (AI)?|Machines performing tasks needing human-like intelligence|Only mechanical gears|Only steam engines|Only barcode scanners|Learning, reasoning, perception.
What is a blockchain?|Distributed ledger duplicated across nodes|Single SQL server at RBI|Paper land registry only|Bluetooth pairing list|Trust-minimized verification.
What is machine learning?|Algorithms improving from data without hand-coded rules for every case|Only sorting integers ascending|Manual double-entry bookkeeping|Steam turbine control only|Subset of AI.
What is cloud computing?|On-demand IT over the internet|Only storing files on USB|Only printing cheques|Only FM radio broadcast|IaaS, PaaS, SaaS models.
What is the Internet of Things (IoT)?|Network of sensors and devices exchanging data|Only human social media|Only submarine sonar|Only library catalog cards|Smart home and industry.
What is augmented reality (AR)?|Digital overlays on real-world views|Fully immersive closed VR headset only|Only black-and-white TV|Only email threads|Pokemon GO style.
What is cybersecurity?|Protecting systems and data from digital attacks|Physical gym security|Food refrigeration only|Bridge load testing only|CIA triad concepts.
What is big data?|Very large, complex datasets needing scalable analytics|A single Excel sheet|One satellite photo|One blood pressure reading|Volume, velocity, variety framing.
What is 5G?|Fifth-generation cellular network standard|Five GHz Wi-Fi only|Five-nanometer chip node only|Five-day work week policy|Higher speeds and massive IoT.
What is quantum computing?|Computation using superposition and entanglement qubits|Faster classical overclocking only|Analog slide rule|Steam engine governor|Some problems exponentially faster.
What is a superconductor?|Material with zero electrical resistance below a critical temperature|Perfect thermal insulator|Transparent glass|Permanent magnet always|MRI magnets.
What is dark energy in cosmology?|Unknown form driving accelerated cosmic expansion|Dark matter halos in galaxies|Black hole event horizons|Neutrino mass alone|~68% energy budget in LCDM.
What is the Large Hadron Collider?|CERN's main particle accelerator ring|SpaceX launch pad|James Webb mirror size|ITER fusion reactor only|Higgs discovery context.
What is nanotechnology?|Engineering at roughly 1–100 nm scales|Macro bridge building only|Astronomy only|Oceanography only|Materials and medicine uses.
What is biohacking in common usage?|Self-experimentation with biology and wearables to optimize health|Illegal gene editing only|Only hospital CRISPR trials|Only gym supplements|Ranges from diet to implants.
What is an NFT?|Unique on-chain token certifying a digital asset|National Film Tax|Non-functional testing in QA|Neural feedback therapy|Art and collectibles use cases.
What is a deepfake?|Synthetic media swapping likeness with AI|Lossless PNG compression|3D cinema glasses|Satellite weather map|GAN-based misuse risks.
What is SpaceX?|Private US aerospace firm led by Elon Musk; reusable rockets|NASA's old name|ISRO launch only partner|European Space Agency HQ|Starlink and Starship programs.
What is an algorithm?|Finite step-by-step procedure to solve a problem|A physical robot arm only|A database table only|A typeface design only|Core of programs.
What is generative AI?|Models that synthesize new text, images, or audio from training patterns|Only spreadsheet sorting|Only barcode lookup|Only GPS triangulation|ChatGPT-style tools.
